plate,mjd,fiber
266,51602,314
266,51630,15
266,51630,26
266,51630,31
266,51630,37
266,51630,233
266,51630,570
266,51630,629
267,51608,99
267,51608,419
267,51608,605
268,51633,70
268,51633,129
268,51633,503
270,51909,8
270,51909,29
270,51909,468
271,51883,181
271,51883,449
271,51883,557
271,51883,599
272,51941,289
272,51941,307
272,51941,461
272,51941,518
273,51957,165
273,51957,337
273,51957,366
273,51957,391
273,51957,574
273,51957,615
274,51913,222
274,51913,265
274,51913,303
274,51913,364
274,51913,536
275,51910,174
275,51910,353
276,51909,44
276,51909,73
276,51909,97
276,51909,158
276,51909,171
276,51909,262
276,51909,593
277,51908,25
277,51908,66
277,51908,98
277,51908,304
277,51908,306
277,51908,311
277,51908,414
277,51908,513
277,51908,533
277,51908,596
278,51900,367
278,51900,523
278,51900,593
279,51984,308
279,51984,321
281,51614,162
281,51614,247
281,51614,307
281,51614,470
281,51614,476
282,51630,88
282,51630,102
282,51630,166
282,51630,323
282,51630,561
282,51658,272
282,51658,304
282,51658,345
282,51658,537
282,51658,613
283,51584,349
283,51584,504
283,51959,117
283,51959,142
283,51959,145
283,51959,185
283,51959,194
283,51959,200
283,51959,314
283,51959,353
283,51959,436
283,51959,551
283,51959,562
283,51959,603
283,51959,614
283,51959,632
284,51943,233
284,51943,378
284,51943,440
284,51943,469
284,51943,517
284,51943,533
285,51930,392
286,51999,169
287,52023,232
287,52023,240
287,52023,242
287,52023,253
287,52023,269
287,52023,455
287,52023,535
288,52000,189
288,52000,276
288,52000,390
288,52000,412
288,52000,446
289,51990,52
289,51990,62
289,51990,106
289,51990,109
289,51990,204
289,51990,401
290,51941,24
290,51941,232
290,51941,268
291,51928,307
292,51609,52
292,51609,97
292,51609,136
292,51609,269
292,51609,367
292,51609,592
293,51689,10
293,51689,31
293,51689,97
293,51689,153
293,51689,211
293,51689,421
293,51689,451
293,51689,482
293,51689,508
293,51689,530
293,51689,553
293,51689,571
293,51689,572
293,51689,575
293,51689,581
293,51689,603
293,51689,616
293,51994,190
293,51994,271
293,51994,305
293,51994,325
293,51994,355
293,51994,395
293,51994,436
294,51986,160
294,51986,270
294,51986,331
294,51986,458
294,51986,513
295,51585,435
295,51585,632
297,51959,4
297,51959,360
297,51959,546
298,51662,566
298,51662,576
298,51955,24
298,51955,34
298,51955,318
298,51955,335
298,51955,394
298,51955,464
298,51955,488
298,51955,492
298,51955,520
298,51955,551
298,51955,576
298,51955,580
298,51955,608
298,51955,616
299,51671,22
299,51671,137
299,51671,194
299,51671,221
299,51671,231
299,51671,314
299,51671,323
299,51671,326
299,51671,357
299,51671,359
299,51671,375
299,51671,385
299,51671,410
299,51671,471
299,51671,476
299,51671,531
299,51671,615
300,51666,288
300,51943,30
300,51943,42
300,51943,131
300,51943,148
300,51943,282
300,51943,354
300,51943,483
300,51943,524
300,51943,606
301,51942,45
301,51942,100
301,51942,101
301,51942,151
301,51942,231
301,51942,254
301,51942,308
301,51942,324
301,51942,330
301,51942,367
301,51942,409
301,51942,445
301,51942,488
301,51942,528
301,51942,563
302,51616,516
302,51688,338
302,51688,349
302,51688,411
302,51688,479
302,51688,490
302,51688,520
303,51615,228
303,51615,588
304,51609,42
304,51609,73
304,51609,180
304,51609,345
304,51609,398
304,51609,466
304,51957,175
304,51957,239
304,51957,386
304,51957,393
304,51957,533
304,51957,551
305,51613,134
305,51613,197
305,51613,210
305,51613,275
305,51613,354
305,51613,462
305,51613,512
305,51613,514
306,51637,196
306,51637,367
306,51690,20
306,51690,164
306,51690,391
306,51690,400
306,51690,495
306,51690,549
307,51663,129
307,51663,158
307,51663,218
307,51663,253
307,51663,336
307,51663,366
307,51663,429
307,51663,480
307,51663,547
307,51663,556
308,51662,28
308,51662,145
308,51662,345
308,51662,353
308,51662,357
308,51662,434
308,51662,475
308,51662,506
308,51662,568
309,51994,235
309,51994,336
309,51994,375
309,51994,457
309,51994,529
309,51994,541
310,51616,180
310,51990,49
310,51990,133
310,51990,203
310,51990,213
310,51990,318
310,51990,349
310,51990,377
310,51990,414
310,51990,451
