#Table1
specobjid,ra,dec,plate,mjd,fiberid
2891417408197650432,184.92904,0.365567,2568,54153,387
2880168579393677312,185.48602,0.239058,2558,54140,424
352504280567015424,230.33384,0.23290676,313,51673,355
3284421078755076096,182.14516,0.767179,2917,54556,622
363822927168169984,183.51983,0.81819274,323,51615,572
3266328066774820864,197.03945,0.72792,2901,54652,336
678988321942169600,200.19149,63.165536,603,52056,257
489785182748960768,119.06065,40.245953,435,51882,68
7682215287693746176,197.18532,63.990115,6823,56687,728
7680984384829104128,201.51424,63.451906,6822,56711,346
877122521088944128,184.05569,61.971376,779,52342,169
7977116949606801408,149.34611,57.230517,7085,56625,422
7981755240012554240,158.89907,60.290089,7089,56661,912
2867800169351505920,217.55494,58.62088,2547,53917,484
3273086213786986496,215.39056,45.599659,2907,54580,346
8319370182737764352,159.08227,47.244833,7389,56769,348
1443522199238502400,199.69406,49.409709,1282,52759,431
8365503222375227392,206.4319,48.340554,7430,57105,243
8321599167886499840,161.15404,45.421913,7391,56781,265
1901655716196804608,257.77092,22.159119,1689,53177,39
1877044527043209216,200.97591,52.511738,1667,53430,616
2292412807372630016,172.11547,36.959973,2036,53446,293
9991400549776334848,171.59908,38.331932,8874,57426,599
4744777044620976128,357.14486,0.33584286,4214,55451,854
3152535479778384896,290.96718,36.684388,2800,54326,57
3173956445070714880,279.42632,40.864062,2819,54617,162
2481627495749675008,249.03929,14.683764,2204,53877,524
2609838260729440256,302.86657,-12.47176,2318,54628,8
2609855852915484672,302.64278,-11.427199,2318,54628,72
3532103668016979968,305.84815,-12.046409,3137,54730,566
3173997127000942592,277.75244,40.782616,2819,54617,310
4597093391422955520,324.73589,3.3387611,4083,55443,160
2150502138013313024,344.54565,-10.414393,1910,53321,121
718365407165048832,318.00373,-7.3935987,638,52081,150
2599767280837486592,332.18412,-8.982639,2309,54441,234
2145013932182497280,12.120975,0.321316,1905,53706,635
9239166645942853632,207.82895,53.94689,8206,57424,116
3729076782096293888,212.48613,46.720283,3312,54969,350
6816373235409461248,225.57793,42.266412,6054,56089,637
2068403256937179136,240.83229,5.6682668,1837,53494,455
3713313907767615488,242.63313,6.2608223,3298,54924,349
2464595798290098176,243.13673,3.10254,2189,54624,3
5962858364970967040,135.26075,9.7258933,5296,55922,336
1991729638342158336,190.79161,13.8978,1769,53502,46
6108121169667268608,198.42593,13.686759,5425,56003,415
3664965906938830848,191.88374,14.473213,3255,54885,588
6108047777266114560,199.87797,14.026783,5425,56003,148
2000777525483038720,207.13463,13.734913,1777,53857,194
427915387066148864,344.23184,-0.42220741,380,51792,267
3226906448831211520,28.842495,-0.479771,2866,54478,281
2854301751970916352,259.85347,-12.206329,2535,54632,529
6591058837838471168,190.12077,17.404332,5854,56035,148
4843782020730429440,7.1942737,3.0794531,4302,55531,584
6915425216479862784,348.34261,14.80499,6142,56219,538
731894623907112960,0.09389713,-10.861716,650,52143,217
4236957154928467968,127.85967,38.10806,3763,55508,712
7528005478363668480,170.02096,48.155402,6686,56389,868
8314873179190304768,154.45133,45.277474,7385,56710,372
7993983458161434624,169.34394,57.090173,7100,56636,342
1563931648049833984,235.22566,29.628261,1389,53135,206
1551497544687708160,210.57365,39.346586,1378,53061,27
5316701766468739072,234.52529,30.365959,4722,55735,736
9989118238447869952,176.08091,36.962974,8872,57422,488
7272413003424702464,151.23841,23.424033,6459,56273,820
2638133077976573952,152.41743,23.830115,2343,53735,544
3837158499876446208,223.07666,12.82117,3408,54948,333
3088347364214204416,209.75353,15.138041,2743,54259,14
5868194263687208960,247.21736,8.018215,5212,56016,14
3100771845289306112,233.3853,11.840592,2754,54240,158
5496768785514733568,237.86163,10.945508,4882,55721,456
4972034559535194112,3.6421977,4.9168438,4416,55828,220
6450524218824040448,139.25371,53.442768,5729,56598,886
9222515641281388544,149.49532,57.608017,8191,57390,980
6434612912170442752,145.49888,57.027077,5715,56657,345
9225704225186488320,147.22487,57.666008,8194,57401,292
7987256096669540352,161.10226,55.219881,7094,56660,444
5277234532348567552,136.93644,44.431884,4687,56369,515
7574020039650549760,227.28901,48.770465,6727,56369,332
7583073968619233280,231.3286,47.50649,6735,56397,502
1509840343032424448,251.92618,31.620994,1341,52786,31
6802893223054254080,237.20079,44.6834,6042,56101,749
7467204409107128320,184.59532,40.546885,6632,56366,859
4701829024803954688,253.41319,17.810789,4176,55682,258
779292372130359296,14.047977,0.96575755,692,52201,617
2146069181538265088,25.295182,0.909455,1906,53293,378
4124193435836981248,115.3943,45.850146,3663,55176,80
7108007430907207680,246.062,51.956347,6313,56460,732
5618350582660046848,259.38271,38.061262,4990,55743,400
6759994401919836160,209.49108,22.197607,6004,56066,332
2830558335541995520,178.75364,24.451923,2514,53882,167
