,Su,Sg,Sr,Si,Sz,Pg,Pr,Pi,Pz,Py,SMu,SMv,SMg,SMr,SMi,SMz,VRu,VRg,VRr,VRi,VRz,VRy,DEu,DEg,DEr,DEi,DEz,DEy,a_fwhm,a_height,b_fwhm,b_height,g_fwhm,g_height,d_fwhm,d_height,is_mpms
0,-30.864438786098845,-33.00272322720798,-34.0761251319378,-34.50148287485075,-34.738758784428256,-33.16948520923924,-34.09103246601181,-34.51163275718646,-34.70875369699688,-34.80047273387091,-30.63491828832846,-31.288506249451526,-33.4086588940821,-34.068008934217964,-34.56109801713765,-34.75856913555339,-31.069154762762253,-33.109487176555845,-34.0982842680539,-34.51098223451035,-34.710153674317084,-34.80636766455006,-31.26321554271175,-33.130920841484816,-34.1816595991594,-34.57064233794834,-34.76282608849059,-34.81630434429756,68.72202339574423,5.25049460545517e-17,135.57479138533978,2.451444729359107e-12,121.24672954833522,0.0013005157025042827,87.14082516616143,0.001973602500705246,0
1,-30.891696486605372,-33.065917334812944,-34.1420898860648,-34.55485417692951,-34.77823920963357,-33.23455606124324,-34.156449865754624,-34.564552974207366,-34.75222983165796,-34.83189310982499,-30.657289722727125,-31.323360145289413,-33.4752301434007,-34.13333963467524,-34.611821123128344,-34.79535811051919,-31.100397451632137,-33.173934532842054,-34.163588208180556,-34.56392971000311,-34.753529714405374,-34.83564069431383,-31.297588934065296,-33.19563465752286,-34.245296751597834,-34.62092555790312,-34.800492726837824,-34.8426977759248,73.27454494311638,5.851327774099011e-16,135.68206832848557,4.2019616213480135e-13,123.05944583948741,0.0016144546879544436,86.69601490989274,0.002134436492522408,0
2,-30.924996887044486,-33.12621779554522,-34.20687362961469,-34.6063310183934,-34.81415556771105,-33.29688772402926,-34.2206781335668,-34.61552771555237,-34.79293701516535,-34.858002471974075,-30.688366974216418,-31.360494699301178,-33.53949497714109,-34.19741945280204,-34.6603980592642,-34.82802897166873,-31.13568265396593,-33.23566670932277,-34.22770932429996,-34.61493206571151,-34.79412354556921,-34.859048799075524,-31.334420416144727,-33.25759006643377,-34.30777832227419,-34.66903915961303,-34.834279868992944,-34.862443680533346,80.70648278737458,7.536448979689107e-11,135.55857255110504,2.31684486376484e-12,124.45640449999333,0.0019815587403432117,86.80577392128194,0.0023153944671997382,0
3,-30.958122989108254,-33.182364142995766,-34.26950736753474,-34.654653556427036,-34.844567150963854,-33.35520502358332,-34.282748490966576,-34.66327539894525,-34.82924868087312,-34.8761139948376,-30.719836602442193,-31.396450868272023,-33.600234773905896,-34.25925956959395,-34.7054634761992,-34.85443142205167,-31.17027116943415,-33.29341488460963,-34.28968317172627,-34.662706637310635,-34.83030155359106,-34.87371271944819,-31.370141482811924,-33.31551116269174,-34.36815857146135,-34.71360924582014,-34.86206990745612,-34.87234342440473,72.34369893840281,1.0749792027740912e-15,135.22683693187713,2.7751727683259635e-11,125.17914946446484,0.0023532418026544735,87.214003409696,0.0024844851014452383,0
4,-30.992626468582145,-33.23408971334881,-34.330236848154264,-34.69909313109093,-34.86791574381918,-33.40933596760519,-34.34286664968959,-34.70702493573942,-34.85979676111567,-34.88410064858306,-30.75397280180611,-31.431783741765855,-33.657450842627604,-34.31904137091693,-34.74607196512424,-34.87289045042252,-31.205178496918812,-33.346994570636156,-34.34971282395384,-34.70648288268171,-34.860688703771125,-34.877440530093544,-31.405352347808368,-33.369213333344355,-34.426564936206326,-34.7536729632219,-34.88210080014473,-34.870011263604056,54.09927160987965,5.775127342868968e-16,146.11879721908934,3.7997910148708786e-11,125.86747398522424,0.002750881260076315,86.95498116472643,0.0026102441356746706,0
5,-30.96560519513787,-33.062811914991165,-34.11765900103893,-34.53620815469086,-34.76922477365066,-33.22648566408465,-34.13226658000418,-34.54619205294726,-34.739661845908714,-34.830057255109956,-30.74030693302142,-31.382621531086464,-33.46098139948623,-34.109533880966424,-34.594793581878754,-34.78877191452688,-31.166660676032606,-33.16730076629676,-34.13940184458019,-34.545555670026594,-34.74103392491023,-34.836005211795836,-31.357829908609652,-33.18852645916899,-34.221425291014,-34.60414681685324,-34.7928252692452,-34.845952255289674,66.39688870933648,0.0,135.91064991134564,1.563418935918755e-13,116.34328320572176,0.0009039083998825277,87.06533279689964,0.0017391157621758965,0
6,-30.98472097457458,-33.12068939263709,-34.17953216285941,-34.58641924394179,-34.806545236234605,-33.28644881359565,-34.19362944838222,-34.59598420328814,-34.78062742684366,-34.86002116659091,-30.754436580747317,-31.409631565043753,-33.52273876256031,-34.17080150404103,-34.64253773401535,-34.82363898953461,-31.18990139727246,-33.2265703448338,-34.20066122829962,-34.59537354776135,-34.78190658967695,-34.864036951658434,-31.384330270158937,-33.24808780332418,-34.281151576050256,-34.65147852141338,-34.82846592793577,-34.87138957387288,70.06780892595779,9.374593010103441e-11,136.07731283348843,0.0,120.7747373167987,0.0012323061435774616,86.65059261484387,0.0019208099957665824,0
7,-31.01251840942896,-33.178128258100784,-34.24202898958611,-34.63637061967003,-34.841812827970074,-33.34601612380333,-34.255598608935124,-34.64546242092279,-34.82033682643694,-34.88620162438349,-30.77952658921077,-31.44199459113214,-33.584366354588006,-34.23262421589415,-34.689743696670725,-34.8559001208367,-31.220066004161673,-33.28549737563431,-34.26252975554704,-34.644878453262976,-34.82150900039715,-34.887746757543425,-31.416351089238212,-33.30725676598539,-34.34147511388815,-34.6982412108914,-34.86173355627163,-34.89175122892462,76.23193560995685,1.4519090481647574e-14,135.9838230714789,0.0,123.25767079543482,0.0015990860828525412,86.78603589646269,0.0021089433955281222,0
8,-31.041888836479327,-33.232580627182514,-34.30330091484049,-34.684059930623285,-34.872521723599235,-33.402714053671836,-34.31633007438332,-34.692607931007984,-34.856540608989846,-34.90547710580216,-30.806958161867794,-31.4746591958478,-33.64355674278292,-34.29313387662472,-34.734334891168544,-34.88287713989044,-31.251139429673653,-33.34158949480832,-34.32316902435249,-34.69205048528069,-34.85758620625883,-34.90384957452618,-31.448751763769472,-33.36354104789784,-34.400593925529186,-34.74235454115912,-34.88998004403304,-34.90348060482523,69.87097188881887,1.5195792011109137e-16,135.63510508650114,7.826259289734288e-13,124.52290331104263,0.001974676835125843,87.18695570494278,0.002282869297243423,0
9,-31.072691912529677,-33.282975168334346,-34.362962156350534,-34.7283384847795,-34.89679622766518,-33.45557980119312,-34.375407105546394,-34.736236233540495,-34.88755269759968,-34.915424365292864,-30.837027682131108,-31.50687622984859,-33.69955557898275,-34.35188679367633,-34.77498069499708,-34.90257582768518,-31.28265332430908,-33.39386776753374,-34.38216203979551,-34.735705330713614,-34.888445954076445,-34.90984664482481,-31.48081138029296,-33.41596202791381,-34.45804693892416,-34.78247423724349,-34.911145476410866,-34.903884727451796,71.31705615202928,3.567811163634264e-14,135.10570118596402,3.131996584775661e-13,125.48489513992006,0.002377175411207872,86.95570047133326,0.0024214974073655565,0
10,-31.06680192819795,-33.12296942026854,-34.15919910416692,-34.57093539123276,-34.79969144289811,-33.28354630284329,-34.17350906167471,-34.5807532254121,-34.77057057335086,-34.85964185389949,-30.845712195666643,-31.4767640031504,-33.51336646791118,-34.151071260175,-34.62849106355604,-34.81897511919169,-31.264202908047864,-33.22518855644826,-34.18052759696867,-34.580130943622564,-34.771914759646876,-34.865642874454466,-31.45246699162443,-33.24619693886591,-34.26119802908922,-34.63765346743369,-34.82282481001765,-34.87560029857377,64.32766511363569,0.0,136.2483647508244,6.072267594190022e-17,108.0840630863628,0.0005221896569969973,86.96500683803163,0.0015115745859785737,0
